"Pais","Alfabetizacion","Desercion","Secundaria","SecundariaT"
"Afghanistan",29.8,69.55477,36.69527,1.1011
"Angola",53.4072,85.35728,10.1675,12.2926
"Albania",97.8,15.69739,89.1819,44.4915
"Antigua and Barbuda",99.42,23.43647,89.72818,NA
"Argentina",99.20877,6.41868,93.0542,43.9062
"Armenia",99.7,13.26,88.05112,81.0701
"Australia",99.99,0.95797,92.69355,76.8863
"Austria",NA,7.63168,87.11869,72.8933
"Azerbaijan",99.71714,NA,88.15416,85.0845
"Bahamas",96.5,30.41517,65.0468,82.4594
"Bangladesh",62.25299,51.75478,72.27917,26.83901
"Barbados",99.6,0.91,96.81848,25.40199
"Belize",70.3284,37.5221,73.3527,37.2706
"Belgium",99.99,1.73136,95.08123,67.63782
"Benin",31.0717,65.85464,39.8106,NA
"Botswana",87.4512,NA,63.7512,NA
"Bolivia",88.58286,17.84266,76.97286,39.01879
"Brazil",92.34379,18.04,83.18157,49.50601
"Brunei Darussalam",96.3013,16.25452,84.048,62.29999
"Bhutan",57.0836,22.34422,76.5469,13.78464
"Bulgaria",97.98,14.19997,87.85868,75.33677
"Burkina Faso",32.6876,31.6926,31.69258,1.57192
"Burundi",61.22,57.72,31.01462,3.83777
"Cabo Verde",82.04222,21.69364,74.47218,19.80815
"Cambodia",75.03387,60.74,36.66987,4.65724
"Cameroon",71.6,58.44663,43.0281,11.47701
"Canada",99.99,15.16952,99.69423,84.88738
"Chad",13.93341,89.27933,12.28557,1.84319
"Chile",96.74396,5.49541,89.88541,58.36588
"China",95.2,NA,NA,19.19593
"Cote d'Ivoire",40.4994,66.90972,35.0588,6.9446
"Colombia",94.41582,18.80498,80.16872,50.9783
"Comoros",52.9564,48.13952,51.6672,NA
"DR Congo",66.5,NA,12.35144,16.8382
"Costa Rica",97.9,12.28232,84.30884,40.76063
"Croatia",98.6,9.53465,94.05053,63.19986
"Cuba",99.8,20.89759,86.70001,57.14484
"Cyprus",98.1,5.06627,95.3969,71.68297
"Czech Republic",99.9,4.79664,91.49009,87.6156
"Denmark",99.99,11.57754,92.25643,80.42358
"Djibouti",58.4,67.14453,37.27547,15.8697
"Dominica",92.3,28.90995,91.18397,10.35548
"Dominican Republic",92.32106,22.04489,74.54667,50.88674
"Ecuador",93.25662,21.6822,86.0294,43.15428
"Egypt",65.5057,25.43915,83.1251,67.4589
"El Salvador",86.2171,33.6196,62.55455,28.21115
"Eritrea",68.9,51.87473,40.25675,NA
"Estonia",99.9,5.0391,95.49697,90.70421
"Ethiopia",44.4,75.24028,30.3126,5.65992
"Finland",99.99,5.54675,96.3946,76.38666
"Fiji",99.0858,22.24588,88.84323,46.81565
"France",99.99,4.98958,95.32789,67.40809
"Georgia",99.29,8.97213,96.84329,91.91808
"Germany",99.99,11.86796,84.68996,80.11032
"Guinea",30.7685,75.84315,25.5608,3.1602
"Ghana",74.4,40.21776,58.78122,14.6786
"Gibraltar",NA,14.65,91.58576,NA
"Greece",97.39,9.18182,92.61503,52.40942
"Grenada",98.59,7.14286,82.76135,NA
"Guatemala",76.37,61.44013,42.97926,27.38647
"Honduras",87.8937,53.474,46.71862,24.31634
"Hong Kong",95,1.54935,96.5437,61.59695
"Hungary",99.09,12.18476,89.51638,71.94582
"Iceland",99.0344,15.55431,92.39913,54.83571
"India",75.79,48.42,62.40373,19.43397
"Indonesia",93.33571,29.17422,79.88474,30.9907
"Iran",80.78,27.49,80.37532,48.8921
"Iraq",79.9,57.63986,40.25403,23.94748
"Ireland",98.563,0.15,98.72828,73.32244
"Israel",88.6747,NA,99.30306,81.29626
"Italy",98.97,4.88214,95.29366,48.22383
"Jamaica",92.69,25.31075,76.31102,NA
"Jordan",97.8321,45.81096,63.524,40.0821
"Japan",NA,NA,NA,79.08035
"Kazakhstan",99.73,NA,93.25123,96.8983
"Kenya",78.1889,35.94917,45.79807,18.00121
"Kyrgyz Republic",99.49972,27.1227,84.12084,87.08672
"Kiribati",NA,NA,72.94061,NA
"North Korea",99.99,NA,NA,NA
"South Korea",97.61,3.5345,97.80743,70.38451
"Kuwait",94.47005,16.96256,88.71225,39.28445
"Lao PDR",79.39104,47.79148,59.35568,NA
"Latvia",99.9,4.55059,94.93903,92.40525
"Lebanon",93.3,NA,NA,32.51167
"Lesotho",84.93,26.98691,50.02598,14.19079
"Liberia",34.09,31.1,14.61057,NA
"Liechtenstein",NA,22.62,74.38495,62.50234
"Lithuania",99.83,2.8294,98.3545,86.05382
"Luxembourg",99.054,16.76867,85.22662,75.72759
"Macao",95.0326,10.93482,88.4108,50.88046
"Madagascar",72.38,65.74,31.03119,NA
"Malawi",55.20411,61.76104,34.76096,2.38688
"Malaysia",93.5,32.05,75.42821,58.60864
"Mali",22.19581,75.23123,26.81248,3.96612
"Malta",95.98,8.49408,94.47046,43.32255
"Marshall Islands",98.2,38.25726,58.42967,67.58212
"Mauritania",43.35,73.27981,31.72382,NA
"Mauritius",90.65402,10.18631,87.0561,39.80234
"Mexico",93.4855,29.31315,82.50117,34.80266
"Moldova",99.14,38.41837,77.59551,73.99986
"Montenegro",98.27,11.95,89.75502,65.23196
"Morocco",64.59,32.05,64.49911,NA
"Mozambique",43.06246,73.02226,19.3244,6.19545
"Myanmar",71.847,38.39902,66.63893,NA
"Namibia",91.43,41.42,57.81182,16.29633
"Nauru",NA,60.10101,72.9097,NA
"Nepal",59.72,12.69,62.81848,10.21392
"Netherlands",99.99,0.57019,93.74044,67.59427
"New Zealand",99,3.47476,97.71525,68.31899
"Nicaragua",82.77935,32.88,52.40421,NA
"Niger",26.64,90.61918,17.06071,1.98776
"Nigeria",52.65,NA,NA,38.97825
"North Macedonia",96.69,33.4,78.37,NA
"Norway",NA,7.84215,95.62558,77.97326
"Oman",86.03721,7.40089,93.15358,63.17532
"Pakistan",46.46,61.34429,34.18399,21.41186
"Panama",94.88,30.83011,65.94409,45.81955
"Paraguay",94.87442,30.03,65.97249,39.30891
"Papua New Guinea",57.9,51.37094,29.18538,NA
"Peru",91.24653,21.04,87.71031,53.38368
"Philippines",98.24175,17.07267,71.3301,60.11276
"Poland",98.25,6.64643,94.23769,82.542
"Portugal",95.07,3.63,95.3391,39.11187
"Puerto Rico",92.39,16.82983,79.2919,81.85908
"Qatar",94.71,10.28,91.7859,60.10435
"Romania",98.59,18.85413,83.3281,62.60895
"Russian Federation",99.73,3.94,90.97303,83.93462
"Rwanda",69.39,42.29,38.78909,8.27011
"San Marino",99.9019,58.61111,62.5,56.03611
"Samoa",99.24,4.45283,89.7317,74.63024
"Sao Tome and Principe",89.5157,15.9169,68.8357,NA
"Saudi Arabia",92.7,8.65,94.10711,52.60346
"Senegal",39.7986,61.87311,39.4246,5.00873
"Serbia",98.22,9.16004,92.5323,66.23293
"Sierra Leone",34.85,62.70158,41.00903,NA
"Singapore",95.19065,NA,99.79816,70.5659
"Slovak Republic",99.64,11.1482,85.3043,83.3149
"Slovenia",99.59,2.4309,96.62219,78.4124
"Solomon Islands",69,58.78519,28.91144,NA
"South Africa",93.40803,14.54208,78.52272,60.47858
"Spain",97.54713,8.53788,97.75094,50.41531
"Sri Lanka",90.79,13.49,92.25549,64.32255
"St. Lucia",99.6,23.41772,81.71289,42.83393
"St. Vincent and the Grenadines",95.49,18.82845,91.6421,44.06854
"Sub-Saharan Africa",56.6289,60.2113,33.98075,NA
"Sudan",56.06,58.09,30.72621,NA
"Suriname",92.71,33.54758,63.96008,26.24709
"Syria",73.6266,66.34662,48.07895,18.88233
"Sweden",99,2.84783,99.46348,75.77895355
"Switzerland",99,19.42982,83.93147,82.52372742
"Tajikistan",99.7,48.08295,78.77399,76.13938
"Tanzania",73.09383,87.72,27.31307,2.28588
"Thailand",91.19193,20.96038,77.54404,32.64234
"Trinidad and Tobago",98.3,23.65902,75.16607,56.62501
"Togo",51.24178,65.99,33.45215,3.03632
"Tonga",99.47,33.03303,83.70213,55.11562
"Tunisia",72.22,NA,26.18833,NA
"Turkey",92.64581,16.17541,86.04436,32.61719
"Uganda",70.8381,78.66385,21.04045,6.34869
"Ukraine",99.9582,4.31127,86.08094,71.11248
"United Arab Emirates",95.09761,18.96,90.32952,65.53579
"United Kingdom",99.9,3.3,97.23472,76.67328
"United States",77,4.94821,93.03496,90.1592
"Uruguay",98.86746,17.90455,91.12043,33.78411
"Uzbekistan",99.97577,16.50768,90.35013,95.27514
"Venezuela",96.56007,26.21113,76.7969,65.17639
"Vietnam",93.59,NA,NA,21.43751
"Vanuatu",86.7061,46.26905,49.8254,NA
"Yemen",35,67.67506,40.195,NA
"Zimbabwe",88.28383,50.3843,48.5126,9.35805
