"País","Cuenta","Autoempleo","Empleo"
"Afghanistan",7.2,92,15.5992002487183
"Albania",38.1,52.9,17.7054996490479
"Algeria",29.3,25.3,5.15000009536743
"Angola",22.3,82.1,15.5992002487183
"Arab World",25.6,34,22.698299407959
"Argentina",50.8,22.8,22.698299407959
"Armenia",40.9,38.1,18.1151008605957
"Australia",99.2,11.9,58.7431983947754
"Austria",98.4,9.3,49.010799407959
"Azerbaijan",27.7,72.7,27.3299999237061
"Bahrain",75.4,3.2,25.7000007629395
"Bangladesh",35.8,67,21.9218006134033
"Belarus",81.3,2.8,37.2999992370605
"Belgium",98.8,10.6,20.8589000701904
"Belize",52.3,32.2,26.3584003448486
"Benin",28.6,94.8,44.532398223877
"Bhutan",27.7,83.8,27.1000003814697
"Bolivia",53.9,71.4,35.0644989013672
"Bosnia and Herzegovina",54.7,20.4,11.2721996307373
"Botswana",46.8,31.1,27.1000003814697
"Brazil",67.5,27,32.3685989379883
"Bulgaria",73.6,8.3,19.118200302124
"Burkina Faso",34.5,90.2,21.923999786377
"Burundi",6.7,96.9,56.5
"Cambodia",21.5,58.5,68.4490966796875
"Cameroon",30,85.7,41.6622009277344
"Canada",99.9,12,57.6399993896484
"Chile",71.3,25.2,24.2879009246826
"Colombia",42.5,48.6,35.0365982055664
"Comoros",17.9,82.1,9.96580028533936
"Congo, Dem. Rep.",24.2,91.2,36.6324005126953
"Congo, Rep.",21,91.2,26.5067005157471
"Costa Rica",60.9,22.9,24.0510997772217
"Cote d'Ivoire",35.6,82.4,25.3500995635986
"Croatia",82.7,9.8,21.880199432373
"Cyprus",90,10,30.7082996368408
"Czech Republic",78.6,12.1,24.2577991485596
"Denmark",100,5.1,53.9404983520508
"Dominican Republic",54.1,30.5,25.8936004638672
"East Asia & Pacific (excluding high income)",67.9,51.7,18.6592012816057
"Ecuador",42.6,58.4,30.0566005706787
"Egypt, Arab Rep.",27,34.1,5.52229976654053
"El Salvador",24.4,45.7,28.4689998626709
"Estonia",98.4,6.7,38.1801986694336
"Eswatini",27.4,41.2,12.2684001922607
"Ethiopia",29.1,89,67.6712036132813
"Euro area",94,10.7,31.3178960606878
"Europe & Central Asia",79.4,14.2,29.9614741333564
"Europe & Central Asia (excluding high income)",62.5,18.7,23.385348175039
"Finland",99.6,9.2,45.1236991882324
"France",91.3,8.3,27.8094997406006
"Gabon",53.7,40.6,9.26000022888184
"Georgia",63.6,50.2,25.6513996124268
"Germany",99.2,7.2,45.5144004821777
"Ghana",53.7,82.5,29.7203998565674
"Greece",84.5,28.2,12.4015998840332
"Guatemala",42.1,49.7,28.6700000762939
"Guinea",19.7,96.8,49.4278984069824
"Haiti",30,81.8,11.3100004196167
"High income",92.9,9.9,42.2209568825847
"Honduras",41,58.2,33.8336982727051
"Hong Kong SAR, China",94.7,5.1,38.3499984741211
"Hungary",72.2,7.9,24.0083999633789
"India",76.6,76.4,7.63030004501343
"Indonesia",51.4,58.3,34.6249008178711
"Iran, Islamic Rep.",91.6,43.2,7.19999980926514
"Iraq",19.5,9.6,1.79999995231628
"Ireland",95.3,7.7,41.035400390625
"Israel",93.7,9.2,43.4277000427246
"Italy",91.6,16.9,15.1505002975464
"Jamaica",77.8,33.1,23.4750003814697
"Japan",98.1,8.6,48.3979988098145
"Jordan",26.6,3.4,4.77500009536743
"Kenya",77.7,59.6,40.2089996337891
"Korea, Rep.",94.7,22.2,27.7493000030518
"Kuwait",73.5,0.6,11.6000003814697
"Kyrgyz Republic",38.9,28.7,21.2000007629395
"Lao PDR",31.9,87.3,23.1079006195068
"Latin America & Caribbean",52,36,32.1282089095747
"Latin America & Caribbean (excluding high income)",51.3,36.6,32.4783831847329
"Latvia",92.5,9.5,29.4988994598389
"Lebanon",32.9,15.6,14.1700000762939
"Lesotho",46.5,19.6,21.9500007629395
"Liberia",28.2,91,53.584400177002
"Libya",59.6,4.8,3.45000004768372
"Lithuania",81,8.9,32.347900390625
"Lower middle income",53,68.9,12.9002751355762
"Luxembourg",98.2,7.3,26.3281993865967
"Madagascar",16.3,91.4,70.7372970581055
"Malawi",29.8,65.8,23.4629993438721
"Malaysia",82.5,25.6,31.5599994659424
"Mali",25.7,87.9,39.293098449707
"Malta",97,7.9,50.7290000915527
"Mauritania",15.5,68.5,10.333399772644
"Mauritius",87.1,14.7,29.5156993865967
"Mexico",33.3,31.9,29.7609996795654
"Middle East & North Africa",38,27.4,9.63340027488985
"Middle East & North Africa (excluding high income)",35,35,7.48499654900194
"Moldova",44.6,33.7,16.5046997070313
"Mongolia",95,45.5,18.3819007873535
"Montenegro",67.6,13.4,23.5296993255615
"Morocco",16.8,59.9,12.1400003433228
"Mozambique",32.9,94.1,58.5856018066406
"Myanmar",26,61.5,39.0766983032227
"Namibia",80.7,42.6,16.2422008514404
"Nepal",41.6,89.1,15.4375
"Netherlands",99.8,13,63.5838012695313
"New Zealand",99.3,14.3,53.0224990844727
"Nicaragua",24.8,50.5,28.2581005096436
"Niger",10.9,97.6,7.29869985580444
"Nigeria",27.3,86.8,7.29869985580444
"North America",93.4,5.8,51.8065884323649
"North Macedonia",72.9,18.6,15.77649974823
"Norway",100,4.3,49.1124992370605
"OECD members",94.1,13.5,38.1502296927601
"Oman",63.5,4.5,9.30000019073486
"Pakistan",7,71,17.0307006835938
"Panama",42.3,35.3,26.7390995025635
"Paraguay",46,43.4,37.570499420166
"Peru",34.4,59.4,52.723201751709
"Philippines",38.9,39.8,25.0496006011963
"Poland",88,15.6,25.1730995178223
"Portugal",90.6,12.5,24.0839996337891
"Puerto Rico",66.1,7.9,16.7000007629395
"Qatar",61.6,0.4,40.5800018310547
"Romania",53.6,22.7,20.3649005889893
"Russian Federation",76.1,5.7,26.005500793457
"Rwanda",45,77.1,26.9016990661621
"Saudi Arabia",58.2,1.4,3.07999992370605
"Senegal",38.4,72.4,25.3400001525879
"Serbia",70.1,22.9,15.3250999450684
"Sierra Leone",15.4,94.7,31.7220993041992
"Singapore",96.3,9.2,32.4599990844727
"Slovak Republic",83.1,9.7,21.1320991516113
"Slovenia",96.9,11.5,30.386100769043
"South Africa",70,12.6,10.0298004150391
"South Asia",64.1,74.9,9.02638820586853
"South Sudan",4.7,91.7,54.7799987792969
"Spain",91.6,11.7,19.7063007354736
"Sri Lanka",73.4,43.9,18.2371997833252
"Sub-Saharan Africa",36.9,82.3,15.8443002700806
"Sudan",10,67,11.4032001495361
"Sweden",100,5.5,45.9683990478516
"Switzerland",98.9,12.4,62.3558006286621
"Tajikistan",42.1,46.6,20.6378002166748
"Tanzania",42.2,89.6,67.160400390625
"Thailand",79.8,50.8,31.699499130249
"Togo",37.6,88.7,25.7777004241943
"Trinidad and Tobago",73.6,16,32.4620018005371
"Turkey",54.3,32.2,23.0216007232666
"Uganda",52.7,84.9,27.6819000244141
"Ukraine",61.3,13.3,24.8899993896484
"United Arab Emirates",76.4,3.5,28.9146995544434
"United Kingdom",96.1,10.8,50.7574996948242
"United States",92.7,5.1,49.8764991760254
"Uruguay",60.6,24,28.8626003265381
"Venezuela, RB",70,37.2,22.282600402832
"Vietnam",30.4,61.4,48.9743003845215
"West Bank and Gaza",15.9,24.3,3.67269992828369
"Yemen, Rep.",1.7,70.2,3.21630001068115
"Zambia",40.3,88.2,12.072699546814
"Zimbabwe",51.7,74.8,65.3406982421875
